epoch,accuracy
1,0.8193166851997375
2,0.8678833246231079
3,0.8757833242416382
4,0.8822833299636841
5,0.8892166614532471
6,0.8924333453178406
7,0.8954833149909973
8,0.8985166549682617
9,0.8997499942779541
10,0.903083324432373
